Lead_ID,Lead_Date,Region,City,Salesperson,Customer_Segment,Lead_Source,Lead_Quality_Score,Lead_Cost_INR,Follow_ups,Converted,Conversion_Date,Days_to_Convert,Lost_Reason
LEAD001360,2024-08-13,West,Pune,Rohan Mehta,Corporate,Walk-in,70,56.78,5,Yes,2024-09-07,25,
LEAD001361,2024-08-13,North,Jaipur,Karan Malhotra,Individual,Walk-in,87,45.16,2,Yes,2024-08-17,4,
LEAD001362,2024-08-13,North,Jaipur,Priya Verma,SME,Organic Search,54,81.15,2,Yes,2024-09-06,24,
LEAD001363,2024-08-13,North,Jaipur,Karan Malhotra,Individual,Organic Search,46,76.82,2,No,,,Price Too High
LEAD001364,2024-08-13,West,Pune,Dev Patel,Individual,Marketplace,68,195.39,1,Yes,2024-08-14,1,
LEAD001365,2024-08-13,South,Bengaluru,Arjun Nair,SME,Organic Search,48,89.05,1,No,,,Price Too High
LEAD001366,2024-08-13,South,Bengaluru,Sneha Rao,Individual,Organic Search,69,77.20,5,No,,,Not Ready Yet
LEAD001367,2024-08-14,West,Pune,Rohan Mehta,Individual,Walk-in,52,51.00,4,Yes,2024-08-18,4,
LEAD001368,2024-08-14,South,Hyderabad,Sneha Rao,Individual,Paid Social,45,406.29,3,Yes,2024-08-16,2,
LEAD001369,2024-08-14,East,Bhubaneswar,Kavya Roy,Individual,Organic Search,38,76.67,1,No,,,No Response
LEAD001370,2024-08-14,North,Delhi,Aarav Sharma,Corporate,Corporate Outreach,58,309.97,3,Yes,2024-09-10,27,
LEAD001371,2024-08-14,East,Kolkata,Neha Das,Individual,Referral,79,129.19,3,Yes,2024-08-24,10,
LEAD001372,2024-08-15,North,Jaipur,Karan Malhotra,SME,Referral,67,130.72,4,Yes,2024-08-29,14,
LEAD001373,2024-08-15,West,Mumbai,Dev Patel,Individual,Referral,47,118.93,2,Yes,2024-08-19,4,
LEAD001374,2024-08-15,North,Delhi,Priya Verma,SME,Organic Search,68,85.81,2,No,,,No Response
LEAD001375,2024-08-15,South,Hyderabad,Arjun Nair,Individual,Organic Search,73,81.11,1,Yes,2024-09-03,19,
LEAD001376,2024-08-16,West,Ahmedabad,Dev Patel,Individual,Referral,78,119.24,3,Yes,2024-08-23,7,
LEAD001377,2024-08-16,West,Ahmedabad,Dev Patel,Individual,Organic Search,18,84.92,5,No,,,No Response
LEAD001378,2024-08-16,North,Jaipur,Aarav Sharma,Individual,Referral,78,103.17,5,No,,,Price Too High
LEAD001379,2024-08-16,West,Ahmedabad,Rohan Mehta,Individual,Google Ads,76,669.95,5,No,,,Not Ready Yet
LEAD001380,2024-08-16,East,Kolkata,Kavya Roy,Corporate,Referral,72,112.03,3,No,,,Not Ready Yet
LEAD001381,2024-08-16,North,Delhi,Priya Verma,Corporate,Corporate Outreach,63,274.26,4,No,,,No Response
LEAD001382,2024-08-16,North,Lucknow,Aarav Sharma,Individual,Organic Search,66,96.55,4,No,,,Competitor Chosen
LEAD001383,2024-08-16,South,Hyderabad,Arjun Nair,Individual,Organic Search,59,83.21,4,Yes,2024-09-03,18,
LEAD001384,2024-08-17,West,Pune,Meera Joshi,Individual,Referral,71,106.37,1,Yes,2024-08-18,1,
LEAD001385,2024-08-17,North,Lucknow,Aarav Sharma,Individual,Marketplace,74,169.42,2,No,,,Budget Delayed
LEAD001386,2024-08-17,West,Ahmedabad,Dev Patel,SME,Walk-in,68,53.60,5,No,,,Budget Delayed
LEAD001387,2024-08-17,South,Hyderabad,Isha Reddy,SME,Google Ads,30,616.29,4,Yes,2024-09-05,19,
LEAD001388,2024-08-18,North,Delhi,Aarav Sharma,Individual,Referral,58,126.63,5,No,,,No Response
LEAD001389,2024-08-18,North,Delhi,Aarav Sharma,SME,Google Ads,25,650.16,1,No,,,No Response
LEAD001390,2024-08-18,West,Mumbai,Meera Joshi,Individual,Organic Search,69,102.77,2,Yes,2024-08-29,11,
LEAD001391,2024-08-19,North,Delhi,Karan Malhotra,Individual,Google Ads,53,596.76,1,No,,,No Response
LEAD001392,2024-08-19,South,Hyderabad,Arjun Nair,Individual,Referral,75,127.78,4,No,,,No Response
LEAD001393,2024-08-20,North,Jaipur,Priya Verma,SME,Marketplace,66,213.98,2,Yes,2024-08-22,2,
LEAD001394,2024-08-20,South,Hyderabad,Isha Reddy,Corporate,Corporate Outreach,36,240.83,2,Yes,2024-09-22,33,
LEAD001395,2024-08-20,West,Ahmedabad,Meera Joshi,Individual,Google Ads,65,603.55,6,No,,,Not Ready Yet
LEAD001396,2024-08-20,North,Lucknow,Priya Verma,Corporate,Corporate Outreach,66,245.95,5,Yes,2024-09-07,18,
LEAD001397,2024-08-20,South,Chennai,Isha Reddy,Individual,Organic Search,69,85.84,3,Yes,2024-08-27,7,
LEAD001398,2024-08-20,North,Jaipur,Priya Verma,Individual,Organic Search,68,78.00,2,Yes,2024-08-27,7,
LEAD001399,2024-08-21,West,Mumbai,Rohan Mehta,Individual,Google Ads,61,564.29,2,Yes,2024-09-15,25,
LEAD001400,2024-08-21,East,Bhubaneswar,Kavya Roy,Individual,Google Ads,63,703.05,3,Yes,2024-09-12,22,
LEAD001401,2024-08-21,South,Bengaluru,Isha Reddy,Individual,Walk-in,62,53.38,3,No,,,No Response
LEAD001402,2024-08-21,East,Kolkata,Vikram Sen,SME,Corporate Outreach,85,270.16,3,Yes,2024-08-30,9,
LEAD001403,2024-08-21,East,Kolkata,Vikram Sen,Individual,Organic Search,33,84.85,2,No,,,Not Ready Yet
LEAD001404,2024-08-21,South,Bengaluru,Arjun Nair,Individual,Paid Social,53,386.55,4,No,,,No Response
LEAD001405,2024-08-21,West,Mumbai,Dev Patel,Individual,Paid Social,67,419.46,5,No,,,No Response
LEAD001406,2024-08-21,South,Chennai,Isha Reddy,SME,Corporate Outreach,53,318.34,3,No,,,Not Ready Yet
LEAD001407,2024-08-21,South,Hyderabad,Arjun Nair,SME,Paid Social,60,375.89,4,No,,,No Response
LEAD001408,2024-08-21,North,Delhi,Aarav Sharma,Individual,Organic Search,48,84.69,1,No,,,Budget Delayed
LEAD001409,2024-08-22,West,Ahmedabad,Rohan Mehta,Individual,Google Ads,56,690.44,4,Yes,2024-09-16,25,
LEAD001410,2024-08-22,South,Hyderabad,Sneha Rao,Individual,Google Ads,68,666.73,3,No,,,Competitor Chosen
LEAD001411,2024-08-22,North,Delhi,Aarav Sharma,Individual,Google Ads,48,545.80,1,No,,,Budget Delayed
LEAD001412,2024-08-22,South,Hyderabad,Sneha Rao,Individual,Organic Search,32,99.64,1,Yes,2024-08-31,9,
LEAD001413,2024-08-22,West,Mumbai,Meera Joshi,Individual,Walk-in,28,50.25,6,No,,,Price Too High
LEAD001414,2024-08-23,South,Hyderabad,Sneha Rao,Corporate,Corporate Outreach,57,246.26,1,No,,,No Response
LEAD001415,2024-08-23,North,Delhi,Aarav Sharma,Individual,Marketplace,49,175.59,2,Yes,2024-09-05,13,
LEAD001416,2024-08-23,North,Jaipur,Aarav Sharma,Individual,Walk-in,78,49.95,2,Yes,2024-08-24,1,
LEAD001417,2024-08-23,North,Jaipur,Karan Malhotra,Individual,Marketplace,59,192.89,1,No,,,Competitor Chosen
LEAD001418,2024-08-23,South,Hyderabad,Sneha Rao,Individual,Walk-in,63,46.97,2,Yes,2024-08-24,1,
LEAD001419,2024-08-23,East,Guwahati,Vikram Sen,Individual,Referral,65,103.64,4,Yes,2024-09-03,11,
LEAD001420,2024-08-23,South,Chennai,Arjun Nair,SME,Organic Search,37,93.15,3,No,,,Competitor Chosen
LEAD001421,2024-08-23,South,Bengaluru,Isha Reddy,Individual,Paid Social,43,412.54,5,No,,,No Response
LEAD001422,2024-08-23,North,Delhi,Aarav Sharma,Corporate,Corporate Outreach,96,248.03,6,Yes,2024-09-10,18,
LEAD001423,2024-08-23,West,Mumbai,Dev Patel,Individual,Walk-in,56,53.23,1,Yes,2024-08-31,8,
LEAD001424,2024-08-23,West,Ahmedabad,Rohan Mehta,Individual,Paid Social,52,473.19,5,No,,,No Response
LEAD001425,2024-08-24,North,Delhi,Karan Malhotra,SME,Referral,77,119.47,2,Yes,2024-08-26,2,
LEAD001426,2024-08-24,South,Bengaluru,Arjun Nair,Individual,Organic Search,57,91.27,2,No,,,Budget Delayed
LEAD001427,2024-08-24,South,Chennai,Arjun Nair,SME,Paid Social,56,390.55,3,Yes,2024-09-03,10,
LEAD001428,2024-08-24,South,Bengaluru,Arjun Nair,Corporate,Corporate Outreach,57,304.30,4,No,,,Competitor Chosen
LEAD001429,2024-08-24,West,Pune,Meera Joshi,Individual,Walk-in,56,52.73,4,Yes,2024-09-06,13,
LEAD001430,2024-08-24,West,Pune,Dev Patel,Individual,Paid Social,75,486.71,3,No,,,Competitor Chosen
LEAD001431,2024-08-24,East,Kolkata,Vikram Sen,SME,Marketplace,80,214.38,4,Yes,2024-08-25,1,
LEAD001432,2024-08-24,North,Delhi,Karan Malhotra,Individual,Google Ads,40,657.72,3,No,,,Budget Delayed
LEAD001433,2024-08-24,South,Hyderabad,Sneha Rao,Individual,Google Ads,68,696.79,3,Yes,2024-08-26,2,
LEAD001434,2024-08-24,South,Hyderabad,Sneha Rao,SME,Google Ads,43,595.50,1,Yes,2024-08-30,6,
LEAD001435,2024-08-25,North,Jaipur,Priya Verma,SME,Walk-in,81,45.97,2,Yes,2024-09-07,13,
LEAD001436,2024-08-25,South,Hyderabad,Arjun Nair,Individual,Paid Social,51,471.30,1,Yes,2024-09-06,12,
LEAD001437,2024-08-25,East,Kolkata,Neha Das,Individual,Walk-in,67,44.33,4,No,,,Not Ready Yet
LEAD001438,2024-08-25,West,Pune,Meera Joshi,SME,Corporate Outreach,72,314.09,1,Yes,2024-09-13,19,
LEAD001439,2024-08-25,East,Kolkata,Vikram Sen,Individual,Referral,67,107.57,3,Yes,2024-08-31,6,
LEAD001440,2024-08-25,South,Hyderabad,Isha Reddy,SME,Paid Social,35,403.64,4,No,,,Price Too High
LEAD001441,2024-08-26,West,Ahmedabad,Meera Joshi,SME,Paid Social,44,424.93,4,No,,,Price Too High
LEAD001442,2024-08-26,North,Jaipur,Aarav Sharma,Individual,Walk-in,59,52.12,4,No,,,No Response
LEAD001443,2024-08-26,North,Jaipur,Aarav Sharma,Individual,Paid Social,49,403.75,4,Yes,2024-09-02,7,
LEAD001444,2024-08-26,North,Delhi,Priya Verma,Individual,Referral,76,113.96,2,Yes,2024-08-29,3,
LEAD001445,2024-08-26,South,Hyderabad,Isha Reddy,Individual,Organic Search,39,88.07,1,No,,,No Response
LEAD001446,2024-08-27,North,Delhi,Priya Verma,Individual,Organic Search,63,85.63,6,No,,,Price Too High
LEAD001447,2024-08-27,South,Chennai,Arjun Nair,Individual,Referral,61,132.09,4,No,,,Budget Delayed
LEAD001448,2024-08-27,South,Hyderabad,Isha Reddy,Individual,Walk-in,64,51.37,4,Yes,2024-09-05,9,
LEAD001449,2024-08-28,North,Delhi,Priya Verma,SME,Marketplace,57,188.53,2,Yes,2024-09-06,9,
LEAD001450,2024-08-28,South,Chennai,Arjun Nair,Individual,Paid Social,66,453.45,1,No,,,No Response
LEAD001451,2024-08-28,South,Hyderabad,Sneha Rao,SME,Referral,79,117.71,2,Yes,2024-09-02,5,
LEAD001452,2024-08-28,North,Jaipur,Aarav Sharma,Individual,Walk-in,46,49.65,2,Yes,2024-09-11,14,
LEAD001453,2024-08-28,South,Chennai,Sneha Rao,Individual,Organic Search,66,79.37,2,No,,,No Response
LEAD001454,2024-08-28,North,Delhi,Priya Verma,Individual,Paid Social,56,386.71,4,No,,,Price Too High
LEAD001455,2024-08-28,South,Bengaluru,Isha Reddy,Individual,Google Ads,65,701.84,1,No,,,No Response
LEAD001456,2024-08-29,South,Chennai,Sneha Rao,Individual,Marketplace,44,204.07,2,Yes,2024-08-30,1,
LEAD001457,2024-08-29,East,Guwahati,Kavya Roy,Individual,Marketplace,65,164.95,1,Yes,2024-09-06,8,
LEAD001458,2024-08-29,West,Ahmedabad,Meera Joshi,Individual,Marketplace,51,184.30,1,Yes,2024-09-02,4,
LEAD001459,2024-08-29,North,Lucknow,Aarav Sharma,SME,Walk-in,69,55.03,4,Yes,2024-09-01,3,
LEAD001460,2024-08-29,North,Lucknow,Priya Verma,Individual,Marketplace,53,177.38,4,No,,,Price Too High
LEAD001461,2024-08-30,West,Ahmedabad,Dev Patel,Individual,Organic Search,35,80.72,3,No,,,No Response
LEAD001462,2024-08-30,West,Pune,Dev Patel,Individual,Referral,56,106.58,2,Yes,2024-09-09,10,
LEAD001463,2024-08-30,South,Chennai,Arjun Nair,Individual,Marketplace,68,164.22,2,No,,,No Response
LEAD001464,2024-08-30,East,Bhubaneswar,Neha Das,Individual,Walk-in,74,52.19,4,Yes,2024-09-07,8,
LEAD001465,2024-08-30,South,Hyderabad,Sneha Rao,Individual,Google Ads,77,531.35,3,Yes,2024-09-24,25,
LEAD001466,2024-08-30,South,Hyderabad,Isha Reddy,Individual,Walk-in,55,53.80,3,Yes,2024-09-07,8,
LEAD001467,2024-08-31,South,Bengaluru,Sneha Rao,Individual,Referral,83,107.97,1,Yes,2024-09-03,3,
LEAD001468,2024-08-31,South,Chennai,Arjun Nair,SME,Google Ads,48,635.77,1,Yes,2024-09-10,10,
LEAD001469,2024-08-31,North,Delhi,Aarav Sharma,Individual,Organic Search,68,100.96,3,Yes,2024-09-06,6,
LEAD001470,2024-09-01,South,Hyderabad,Sneha Rao,Individual,Marketplace,55,180.23,3,Yes,2024-09-07,6,
LEAD001471,2024-09-01,South,Chennai,Sneha Rao,SME,Referral,76,124.46,2,Yes,2024-09-14,13,
LEAD001472,2024-09-01,South,Bengaluru,Sneha Rao,Individual,Google Ads,32,528.35,5,No,,,No Response
LEAD001473,2024-09-01,West,Mumbai,Dev Patel,SME,Corporate Outreach,58,245.60,3,No,,,Budget Delayed
LEAD001474,2024-09-02,South,Bengaluru,Arjun Nair,SME,Paid Social,60,382.77,5,No,,,Competitor Chosen
LEAD001475,2024-09-02,North,Delhi,Priya Verma,Individual,Organic Search,38,86.87,1,Yes,2024-09-06,4,
LEAD001476,2024-09-02,South,Chennai,Isha Reddy,Individual,Organic Search,62,92.32,1,Yes,2024-09-23,21,
LEAD001477,2024-09-02,North,Delhi,Karan Malhotra,Individual,Paid Social,54,385.00,3,No,,,No Response
LEAD001478,2024-09-02,South,Hyderabad,Arjun Nair,Individual,Organic Search,73,93.26,6,No,,,Price Too High
LEAD001479,2024-09-02,North,Lucknow,Aarav Sharma,Individual,Paid Social,66,383.23,3,No,,,No Response
LEAD001480,2024-09-02,North,Delhi,Aarav Sharma,Individual,Referral,86,105.39,3,No,,,Price Too High
LEAD001481,2024-09-02,North,Lucknow,Aarav Sharma,Individual,Organic Search,60,92.46,4,No,,,No Response
LEAD001482,2024-09-02,South,Bengaluru,Isha Reddy,Corporate,Corporate Outreach,86,245.85,2,No,,,Price Too High
LEAD001483,2024-09-02,West,Pune,Meera Joshi,Individual,Referral,60,112.89,1,Yes,2024-09-05,3,
LEAD001484,2024-09-03,West,Pune,Meera Joshi,Individual,Google Ads,40,667.90,2,No,,,Not Ready Yet
LEAD001485,2024-09-03,South,Chennai,Arjun Nair,Individual,Google Ads,54,705.57,3,Yes,2024-09-27,24,
LEAD001486,2024-09-03,North,Lucknow,Priya Verma,Individual,Walk-in,54,54.94,2,Yes,2024-09-12,9,
LEAD001487,2024-09-03,West,Ahmedabad,Meera Joshi,Individual,Referral,50,116.32,3,Yes,2024-09-15,12,
LEAD001488,2024-09-03,North,Jaipur,Aarav Sharma,Individual,Marketplace,60,203.52,6,No,,,Not Ready Yet
LEAD001489,2024-09-03,North,Jaipur,Aarav Sharma,Individual,Organic Search,59,96.19,3,Yes,2024-09-10,7,
LEAD001490,2024-09-03,South,Hyderabad,Sneha Rao,SME,Corporate Outreach,56,253.85,4,Yes,2024-09-22,19,
LEAD001491,2024-09-04,South,Chennai,Isha Reddy,Individual,Marketplace,62,194.18,1,No,,,No Response
LEAD001492,2024-09-04,South,Chennai,Isha Reddy,Individual,Paid Social,60,370.63,4,Yes,2024-09-28,24,
LEAD001493,2024-09-04,West,Mumbai,Meera Joshi,SME,Organic Search,44,93.97,3,Yes,2024-09-21,17,
LEAD001494,2024-09-04,North,Delhi,Aarav Sharma,Individual,Walk-in,50,53.95,3,Yes,2024-09-08,4,
LEAD001495,2024-09-05,West,Mumbai,Rohan Mehta,Individual,Paid Social,70,419.66,1,Yes,2024-09-07,2,
LEAD001496,2024-09-05,North,Jaipur,Priya Verma,Individual,Organic Search,68,101.43,1,Yes,2024-09-19,14,
LEAD001497,2024-09-05,South,Chennai,Sneha Rao,Individual,Paid Social,61,366.83,6,No,,,Not Ready Yet
LEAD001498,2024-09-06,South,Bengaluru,Sneha Rao,Individual,Paid Social,61,476.10,4,No,,,Competitor Chosen
LEAD001499,2024-09-06,South,Bengaluru,Sneha Rao,SME,Organic Search,41,102.55,1,Yes,2024-09-30,24,
LEAD001500,2024-09-06,West,Ahmedabad,Dev Patel,Individual,Google Ads,37,666.29,3,No,,,Price Too High
LEAD001501,2024-09-06,West,Pune,Dev Patel,SME,Referral,50,126.93,1,No,,,No Response
LEAD001502,2024-09-06,South,Hyderabad,Sneha Rao,Individual,Organic Search,60,89.28,1,Yes,2024-09-21,15,
LEAD001503,2024-09-06,South,Bengaluru,Isha Reddy,Individual,Marketplace,67,201.25,2,No,,,Price Too High
LEAD001504,2024-09-06,North,Delhi,Karan Malhotra,Individual,Google Ads,42,558.29,1,No,,,Budget Delayed
LEAD001505,2024-09-06,North,Delhi,Priya Verma,SME,Referral,57,114.92,2,Yes,2024-09-07,1,
LEAD001506,2024-09-06,West,Pune,Dev Patel,Individual,Walk-in,65,46.71,1,Yes,2024-09-15,9,
LEAD001507,2024-09-07,West,Mumbai,Meera Joshi,SME,Google Ads,34,620.16,2,Yes,2024-09-19,12,
LEAD001508,2024-09-07,West,Ahmedabad,Meera Joshi,SME,Google Ads,23,570.61,3,Yes,2024-10-02,25,
LEAD001509,2024-09-07,South,Hyderabad,Sneha Rao,Individual,Organic Search,46,99.35,4,Yes,2024-09-18,11,
LEAD001510,2024-09-07,South,Chennai,Arjun Nair,Individual,Paid Social,50,424.46,3,No,,,No Response
LEAD001511,2024-09-07,West,Mumbai,Dev Patel,SME,Marketplace,71,168.99,4,Yes,2024-09-14,7,
LEAD001512,2024-09-07,South,Chennai,Arjun Nair,Individual,Walk-in,54,46.95,1,No,,,No Response
LEAD001513,2024-09-07,South,Hyderabad,Isha Reddy,SME,Referral,73,122.77,2,Yes,2024-09-19,12,
LEAD001514,2024-09-08,North,Lucknow,Priya Verma,Individual,Referral,62,102.74,4,Yes,2024-09-22,14,
LEAD001515,2024-09-08,East,Kolkata,Neha Das,Individual,Marketplace,59,173.54,2,Yes,2024-09-15,7,
LEAD001516,2024-09-08,West,Pune,Dev Patel,Individual,Walk-in,69,50.72,1,Yes,2024-09-21,13,
LEAD001517,2024-09-08,North,Jaipur,Priya Verma,Individual,Marketplace,76,190.68,5,No,,,Price Too High
LEAD001518,2024-09-08,West,Pune,Meera Joshi,Individual,Walk-in,46,53.77,1,No,,,No Response
LEAD001519,2024-09-08,South,Bengaluru,Isha Reddy,SME,Walk-in,47,42.86,4,Yes,2024-09-16,8,
LEAD001520,2024-09-08,South,Chennai,Isha Reddy,Individual,Organic Search,29,80.25,3,No,,,Competitor Chosen
LEAD001521,2024-09-08,North,Delhi,Priya Verma,Individual,Paid Social,55,422.62,4,No,,,Competitor Chosen
LEAD001522,2024-09-08,West,Mumbai,Rohan Mehta,SME,Paid Social,27,426.72,1,Yes,2024-10-01,23,
LEAD001523,2024-09-08,East,Bhubaneswar,Vikram Sen,SME,Referral,49,119.66,2,Yes,2024-09-17,9,
LEAD001524,2024-09-08,West,Pune,Meera Joshi,Corporate,Organic Search,43,88.85,2,No,,,No Response
LEAD001525,2024-09-08,East,Kolkata,Neha Das,SME,Google Ads,56,660.54,2,Yes,2024-09-10,2,
LEAD001526,2024-09-08,South,Chennai,Isha Reddy,Individual,Marketplace,73,178.74,2,No,,,Not Ready Yet
LEAD001527,2024-09-09,East,Bhubaneswar,Vikram Sen,Individual,Google Ads,19,538.81,4,No,,,Competitor Chosen
LEAD001528,2024-09-09,West,Pune,Rohan Mehta,Individual,Google Ads,41,577.51,2,No,,,Not Ready Yet
LEAD001529,2024-09-09,West,Pune,Meera Joshi,Individual,Google Ads,65,541.01,6,No,,,Budget Delayed
LEAD001530,2024-09-09,South,Bengaluru,Arjun Nair,Individual,Marketplace,60,199.31,3,Yes,2024-09-16,7,
LEAD001531,2024-09-09,South,Hyderabad,Isha Reddy,Individual,Marketplace,59,211.80,3,Yes,2024-09-20,11,
LEAD001532,2024-09-10,South,Chennai,Sneha Rao,SME,Walk-in,24,56.59,2,Yes,2024-09-11,1,
LEAD001533,2024-09-10,South,Bengaluru,Sneha Rao,Corporate,Walk-in,47,42.97,2,Yes,2024-09-21,11,
LEAD001534,2024-09-10,South,Bengaluru,Isha Reddy,SME,Corporate Outreach,64,250.62,4,Yes,2024-09-17,7,
LEAD001535,2024-09-10,North,Lucknow,Karan Malhotra,Individual,Marketplace,54,162.60,1,No,,,Competitor Chosen
LEAD001536,2024-09-11,North,Jaipur,Karan Malhotra,Corporate,Walk-in,70,46.63,6,Yes,2024-10-18,37,
LEAD001537,2024-09-11,North,Jaipur,Priya Verma,Corporate,Referral,60,130.79,2,Yes,2024-09-26,15,
LEAD001538,2024-09-11,West,Mumbai,Dev Patel,Individual,Organic Search,27,88.82,1,Yes,2024-10-02,21,
LEAD001539,2024-09-11,South,Chennai,Arjun Nair,Individual,Marketplace,56,197.42,4,Yes,2024-09-21,10,
LEAD001540,2024-09-12,North,Delhi,Karan Malhotra,Individual,Marketplace,69,203.44,1,No,,,Price Too High
LEAD001541,2024-09-12,West,Pune,Dev Patel,Individual,Organic Search,65,101.50,5,No,,,Price Too High
LEAD001542,2024-09-12,East,Kolkata,Vikram Sen,Individual,Paid Social,45,470.81,4,No,,,No Response
LEAD001543,2024-09-12,South,Bengaluru,Arjun Nair,Individual,Paid Social,69,474.44,2,Yes,2024-09-24,12,
LEAD001544,2024-09-12,East,Kolkata,Neha Das,Individual,Referral,84,127.20,1,Yes,2024-09-21,9,
LEAD001545,2024-09-12,South,Chennai,Arjun Nair,Individual,Marketplace,77,168.27,2,Yes,2024-09-21,9,
LEAD001546,2024-09-13,South,Hyderabad,Arjun Nair,Individual,Google Ads,37,712.83,4,No,,,No Response
LEAD001547,2024-09-13,East,Kolkata,Vikram Sen,Individual,Walk-in,41,44.44,3,No,,,Competitor Chosen
LEAD001548,2024-09-13,South,Hyderabad,Arjun Nair,Corporate,Google Ads,45,536.39,2,No,,,Price Too High
LEAD001549,2024-09-14,North,Jaipur,Priya Verma,Individual,Marketplace,50,216.59,1,Yes,2024-09-21,7,
LEAD001550,2024-09-14,East,Bhubaneswar,Neha Das,Individual,Marketplace,54,195.02,2,Yes,2024-09-24,10,
LEAD001551,2024-09-14,South,Chennai,Isha Reddy,Individual,Organic Search,58,89.03,4,No,,,Competitor Chosen
LEAD001552,2024-09-14,West,Pune,Meera Joshi,Corporate,Corporate Outreach,33,282.12,3,Yes,2024-10-07,23,
LEAD001553,2024-09-14,North,Lucknow,Priya Verma,SME,Marketplace,66,170.32,1,Yes,2024-09-18,4,
LEAD001554,2024-09-14,North,Delhi,Aarav Sharma,SME,Google Ads,63,699.97,4,Yes,2024-10-07,23,
LEAD001555,2024-09-14,North,Jaipur,Karan Malhotra,Corporate,Walk-in,50,46.76,7,Yes,2024-09-24,10,
LEAD001556,2024-09-15,East,Kolkata,Neha Das,Individual,Organic Search,78,100.83,4,No,,,No Response
LEAD001557,2024-09-15,South,Hyderabad,Sneha Rao,Individual,Paid Social,35,451.56,2,No,,,Budget Delayed
LEAD001558,2024-09-15,South,Bengaluru,Sneha Rao,Individual,Marketplace,35,174.81,1,No,,,No Response
LEAD001559,2024-09-15,South,Bengaluru,Arjun Nair,Corporate,Corporate Outreach,64,271.66,5,No,,,Not Ready Yet
LEAD001560,2024-09-15,East,Bhubaneswar,Kavya Roy,Corporate,Walk-in,55,50.51,4,Yes,2024-10-16,31,
LEAD001561,2024-09-16,South,Bengaluru,Isha Reddy,Individual,Referral,86,122.59,4,Yes,2024-09-25,9,
LEAD001562,2024-09-16,East,Kolkata,Kavya Roy,Corporate,Referral,66,130.63,1,No,,,No Response
LEAD001563,2024-09-16,West,Mumbai,Dev Patel,Individual,Organic Search,66,79.12,3,No,,,Not Ready Yet
LEAD001564,2024-09-16,North,Jaipur,Aarav Sharma,Individual,Organic Search,62,87.81,3,No,,,Price Too High
LEAD001565,2024-09-16,South,Chennai,Sneha Rao,Corporate,Corporate Outreach,47,287.63,5,No,,,Budget Delayed
LEAD001566,2024-09-16,West,Mumbai,Meera Joshi,Individual,Google Ads,76,578.16,3,Yes,2024-09-27,11,
LEAD001567,2024-09-16,West,Pune,Rohan Mehta,SME,Referral,90,129.88,2,Yes,2024-09-30,14,
LEAD001568,2024-09-16,West,Mumbai,Rohan Mehta,Individual,Paid Social,57,466.95,1,Yes,2024-10-07,21,
LEAD001569,2024-09-17,South,Chennai,Isha Reddy,Individual,Walk-in,47,55.46,2,Yes,2024-09-28,11,
LEAD001570,2024-09-17,South,Bengaluru,Arjun Nair,Individual,Marketplace,71,193.33,1,Yes,2024-10-01,14,
LEAD001571,2024-09-17,West,Mumbai,Meera Joshi,Individual,Organic Search,57,95.89,4,No,,,No Response
LEAD001572,2024-09-17,South,Chennai,Sneha Rao,Individual,Organic Search,51,98.67,4,Yes,2024-10-09,22,
LEAD001573,2024-09-17,North,Delhi,Karan Malhotra,Individual,Walk-in,70,57.27,1,No,,,No Response
LEAD001574,2024-09-17,East,Kolkata,Kavya Roy,Individual,Organic Search,59,92.39,1,No,,,Competitor Chosen
LEAD001575,2024-09-17,West,Mumbai,Dev Patel,SME,Google Ads,38,643.87,6,No,,,Not Ready Yet
LEAD001576,2024-09-17,South,Bengaluru,Arjun Nair,Individual,Organic Search,78,78.94,3,Yes,2024-09-24,7,
LEAD001577,2024-09-18,East,Kolkata,Neha Das,Individual,Organic Search,61,101.68,2,No,,,Price Too High
LEAD001578,2024-09-18,South,Hyderabad,Arjun Nair,SME,Referral,76,119.55,4,Yes,2024-09-19,1,
LEAD001579,2024-09-18,West,Ahmedabad,Dev Patel,Individual,Marketplace,54,196.56,1,No,,,Competitor Chosen
LEAD001580,2024-09-18,West,Pune,Dev Patel,Individual,Marketplace,55,200.30,1,No,,,Price Too High
LEAD001581,2024-09-18,East,Guwahati,Neha Das,Individual,Google Ads,55,571.82,4,Yes,2024-09-25,7,
LEAD001582,2024-09-18,South,Bengaluru,Isha Reddy,Individual,Google Ads,71,554.29,2,Yes,2024-10-11,23,
LEAD001583,2024-09-18,West,Pune,Meera Joshi,Individual,Paid Social,66,476.90,1,Yes,2024-10-05,17,
LEAD001584,2024-09-18,South,Chennai,Sneha Rao,Corporate,Google Ads,53,599.61,3,Yes,2024-09-30,12,
LEAD001585,2024-09-18,North,Jaipur,Priya Verma,SME,Referral,42,116.67,4,No,,,Price Too High
LEAD001586,2024-09-19,North,Jaipur,Karan Malhotra,Individual,Organic Search,70,96.72,2,Yes,2024-09-21,2,
LEAD001587,2024-09-19,North,Jaipur,Aarav Sharma,Individual,Paid Social,37,371.75,4,No,,,No Response
LEAD001588,2024-09-19,East,Kolkata,Vikram Sen,Individual,Google Ads,52,551.04,1,No,,,No Response
LEAD001589,2024-09-19,West,Pune,Dev Patel,Individual,Google Ads,76,637.18,1,Yes,2024-09-27,8,
LEAD001590,2024-09-19,East,Kolkata,Kavya Roy,Individual,Organic Search,58,85.65,3,Yes,2024-09-21,2,
